frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1096984868.229690000	60	60	
1096984868.304297000	60	60	
1096984868.318274000	60	60	
1096984868.353828000	60	60	
1096984868.596209000	60	60	
1096984868.627713000	60	60	
1096984868.821529000	60	60	
1096984868.832015000	60	60	
1096984868.838533000	60	60	
1096984868.849548000	60	60	
1096984868.850028000	60	60	
1096984868.955727000	60	60	
1096984868.961696000	60	60	
1096984869.045864000	60	60	
1096984869.049329000	60	60	
1096984869.056354000	60	60	
1096984869.060844000	60	60	
1096984869.080404000	60	60	
1096984869.102426000	60	60	
1096984869.125467000	60	60	
1096984869.158510000	60	60	
1096984869.166519000	60	60	
1096984869.180055000	60	60	
1096984869.269206000	60	60	
1096984869.274699000	60	60	
1096984869.289202000	60	60	
1096984869.310739000	60	60	
1096984869.316236000	60	60	
1096984869.340288000	60	60	
1096984869.379364000	60	60	
1096984869.383826000	60	60	
1096984869.385369000	60	60	
1096984869.404414000	60	60	
1096984869.425911000	60	60	
1096984869.428387000	60	60	
1096984869.430389000	60	60	
1096984869.502022000	60	60	
1096984869.579144000	60	60	
1096984869.589136000	60	60	
1096984869.599172000	60	60	
1096984869.599243000	60	60	
1096984869.725861000	60	60	
1096984869.748377000	60	60	
1096984869.759400000	60	60	
1096984869.767400000	60	60	
1096984869.891106000	60	60	
1096984869.966711000	60	60	
1096984870.032825000	60	60	
1096984870.032865000	60	60	
1096984870.032970000	60	60	
1096984870.109939000	60	60	
1096984870.123935000	60	60	
1096984870.211595000	60	60	
1096984870.268178000	60	60	
1096984870.288192000	60	60	
1096984870.289662000	60	60	
1096984870.296183000	60	60	
1096984870.430409000	60	60	
1096984870.449419000	60	60	
1096984870.570610000	60	60	
1096984870.591624000	60	60	
1096984870.591699000	60	60	
1096984870.637194000	60	60	
1096984870.650207000	60	60	
1096984870.696785000	60	60	
1096984870.707783000	60	60	
1096984870.715798000	60	60	
1096984870.715870000	60	60	
1096984870.747354000	60	60	
1096984870.798943000	60	60	
1096984870.880567000	60	60	
1096984870.929130000	60	60	
1096984871.195037000	60	60	
1096984871.279683000	60	60	
1096984871.307206000	60	60	
1096984871.345739000	60	60	
1096984871.392312000	60	60	
1096984871.474522000	60	60	
1096984871.527513000	60	60	
1096984871.565061000	60	60	
1096984871.710283000	60	60	
1096984871.713750000	60	60	
1096984871.790399000	60	60	
1096984871.820422000	60	60	
1096984871.820907000	60	60	
1096984871.859489000	60	60	
1096984871.935619000	60	60	
1096984872.016237000	60	60	
1096984872.032735000	60	60	
1096984872.091844000	60	60	
1096984872.166951000	60	60	
1096984872.220039000	60	60	
1096984872.257100000	60	60	
1096984872.372280000	60	60	
1096984872.384778000	60	60	
1096984872.391255000	60	60	
1096984872.411796000	60	60	
1096984872.440843000	60	60	
1096984872.490444000	60	60	
1096984872.584080000	60	60	
1096984872.598089000	60	60	
1096984872.620095000	60	60	
1096984872.634121000	60	60	
1096984872.700733000	60	60	
1096984872.753815000	60	60	
1096984872.768320000	60	60	
1096984872.786859000	60	60	
1096984872.929084000	60	60	
1096984872.929545000	60	60	
1096984872.945586000	60	60	
1096984873.020722000	60	60	
1096984873.072776000	60	60	
1096984873.076299000	60	60	
1096984873.113337000	60	60	
1096984873.192969000	60	60	
1096984873.240556000	60	60	
1096984873.292640000	60	60	
1096984873.298106000	60	60	
1096984873.361719000	60	60	
1096984873.370213000	60	60	
1096984873.370695000	60	60	
1096984873.375752000	60	60	
1096984873.458858000	60	60	
1096984873.522445000	60	60	
1096984873.531950000	60	60	
1096984873.540958000	60	60	
1096984873.542940000	60	60	
1096984873.556490000	60	60	
1096984873.556962000	60	60	
1096984873.559467000	60	60	
1096984873.573507000	60	60	
1096984873.592048000	60	60	
1096984873.674168000	60	60	
1096984873.750787000	60	60	
1096984873.761283000	60	60	
1096984873.814425000	60	60	
1096984873.915037000	60	60	
1096984873.935049000	60	60	
1096984873.981139000	60	60	
1096984874.051229000	60	60	
1096984874.190445000	60	60	
1096984874.227490000	60	60	
1096984874.232969000	60	60	
1096984874.235991000	60	60	
1096984874.271411000	60	60	
1096984874.356195000	60	60	
1096984874.357655000	60	60	
1096984874.379717000	60	60	
1096984874.393725000	60	60	
1096984874.397743000	60	60	
1096984874.517921000	60	60	
1096984874.785324000	60	60	
1096984874.785401000	60	60	
1096984874.879972000	60	60	
1096984874.911484000	60	60	
1096984874.937026000	60	60	
1096984874.961552000	60	60	
1096984875.030690000	60	60	
1096984875.045175000	60	60	
1096984875.058200000	60	60	
1096984875.181909000	60	60	
1096984875.181980000	60	60	
1096984875.194904000	60	60	
1096984875.265538000	60	60	
1096984875.282568000	60	60	
1096984875.387714000	60	60	
1096984875.439769000	60	60	
1096984875.443250000	60	60	
1096984875.478850000	60	60	
1096984875.539925000	60	60	
1096984875.618040000	60	60	
1096984875.644554000	60	60	
1096984875.693642000	60	60	
1096984875.709150000	60	60	
1096984875.712636000	60	60	
1096984875.781286000	60	60	
1096984875.881433000	60	60	
1096984875.882892000	60	60	
1096984875.896933000	60	60	
1096984875.900418000	60	60	
1096984875.902919000	60	60	
1096984875.995606000	60	60	
1096984876.040648000	60	60	
1096984876.278041000	60	60	
1096984876.284541000	60	60	
1096984876.287999000	60	60	
1096984876.297037000	60	60	
1096984876.326579000	60	60	
1096984876.419229000	60	60	
1096984876.448759000	60	60	
1096984876.494845000	60	60	
1096984876.508331000	60	60	
1096984876.511830000	60	60	
1096984876.516343000	60	60	
1096984876.541890000	60	60	
1096984876.597989000	60	60	
1096984876.751710000	60	60	
1096984876.760706000	60	60	
1096984876.789263000	60	60	
1096984876.880907000	60	60	
1096984876.914949000	60	60	
1096984877.018114000	60	60	
1096984877.151804000	60	60	
1096984877.213406000	60	60	
1096984877.216882000	60	60	
1096984877.274003000	60	60	
1096984877.289009000	60	60	
1096984877.298507000	60	60	
1096984877.364610000	60	60	
1096984877.400672000	60	60	
1096984877.468760000	60	60	
1096984877.514844000	60	60	
1096984877.552887000	60	60	
1096984877.584932000	60	60	
1096984877.603959000	60	60	
1096984877.694599000	60	60	
1096984877.697075000	60	60	
1096984877.808764000	60	60	
1096984877.808837000	60	60	
1096984877.848313000	60	60	
1096984877.858823000	60	60	
1096984877.916933000	60	60	
1096984877.940949000	60	60	
1096984878.058145000	60	60	
1096984878.067631000	60	60	
1096984878.143262000	60	60	
1096984878.199837000	60	60	
1096984878.244918000	60	60	
1096984878.265944000	60	60	
1096984878.307521000	60	60	
1096984878.395643000	60	60	
1096984878.397102000	60	60	
1096984878.400104000	60	60	
1096984878.404111000	60	60	
1096984878.562876000	60	60	
1096984878.655012000	60	60	
1096984878.750151000	60	60	
1096984878.758642000	60	60	
1096984878.818746000	60	60	
1096984878.871831000	60	60	
1096984878.880334000	60	60	
1096984878.883809000	60	60	
1096984878.903363000	60	60	
1096984878.917878000	60	60	
1096984878.919365000	60	60	
1096984879.047603000	60	60	
1096984879.081151000	60	60	
1096984879.198830000	60	60	
1096984879.231363000	60	60	
1096984879.255411000	60	60	
1096984879.261395000	60	60	
1096984879.301996000	60	60	
1096984879.378607000	60	60	
1096984879.457697000	60	60	
1096984879.472717000	60	60	
1096984879.503780000	60	60	
1096984879.517260000	60	60	
1096984879.528795000	60	60	
1096984879.589394000	60	60	
1096984879.601404000	60	60	
1096984879.802209000	60	60	
1096984879.809695000	60	60	
1096984879.813682000	60	60	
1096984879.830233000	60	60	
1096984879.851264000	60	60	
1096984879.887331000	60	60	
1096984879.943915000	60	60	
1096984879.964429000	60	60	
1096984879.991990000	60	60	
1096984879.994976000	60	60	
1096984880.141231000	60	60	
1096984880.213334000	60	60	
1096984880.213376000	60	60	
1096984880.257884000	60	60	
1096984880.283941000	60	60	
1096984880.323972000	60	60	
1096984880.387090000	60	60	
1096984880.391057000	60	60	
1096984880.422619000	60	60	
1096984880.474212000	60	60	
1096984880.536802000	60	60	
1096984880.562808000	60	60	
1096984880.599882000	60	60	
1096984880.793173000	60	60	
1096984880.807165000	60	60	
1096984880.827198000	60	60	
1096984880.859754000	60	60	
1096984880.866249000	60	60	
1096984881.064084000	60	60	
1096984881.124156000	60	60	
1096984881.128138000	60	60	
1096984881.185749000	60	60	
1096984881.264876000	60	60	
1096984881.418115000	60	60	
1096984881.424074000	60	60	
1096984881.590356000	60	60	
1096984881.632401000	60	60	
1096984881.773106000	60	60	
1096984881.810153000	60	60	
1096984881.838203000	60	60	
1096984881.980924000	60	60	
1096984881.999431000	60	60	
1096984882.007932000	60	60	
1096984882.023964000	60	60	
1096984882.098090000	60	60	
1096984882.162171000	60	60	
1096984882.224291000	60	60	
1096984882.262335000	60	60	
1096984882.262380000	60	60	
1096984882.313927000	60	60	
1096984882.433595000	60	60	
1096984882.499193000	60	60	
1096984882.503648000	60	60	
1096984882.622871000	60	60	
1096984882.807631000	60	60	
1096984882.813103000	60	60	
1096984882.813597000	60	60	
1096984882.817624000	60	60	
1096984882.865704000	60	60	
1096984882.919297000	60	60	
1096984883.073034000	60	60	
1096984883.162158000	60	60	
1096984883.278347000	60	60	
1096984883.320883000	60	60	
1096984883.348921000	60	60	
1096984883.351903000	60	60	
1096984883.378975000	60	60	
1096984883.439552000	60	60	
1096984883.517687000	60	60	
1096984883.605804000	60	60	
1096984883.639841000	60	60	
1096984883.716962000	60	60	
1096984883.748496000	60	60	
1096984883.752484000	60	60	
1096984883.788071000	60	60	
1096984883.862172000	60	60	
1096984883.871680000	60	60	
1096984883.913760000	60	60	
1096984884.018924000	60	60	
1096984884.157120000	60	60	
1096984884.208687000	60	60	
1096984884.250778000	60	60	
1096984884.311363000	60	60	
1096984884.422015000	60	60	
1096984884.422977000	60	60	
1096984884.423066000	60	60	
1096984884.490128000	60	60	
1096984884.506612000	60	60	
1096984884.683895000	60	60	
1096984884.761998000	60	60	
1096984884.823590000	60	60	
1096984884.883187000	60	60	
1096984884.883649000	60	60	
1096984884.921223000	60	60	
1096984884.931233000	60	60	
1096984884.939253000	60	60	
1096984884.994858000	60	60	
1096984885.007853000	60	60	
1096984885.107529000	60	60	
1096984885.119020000	60	60	
1096984885.194145000	60	60	
1096984885.212675000	60	60	
1096984885.232686000	60	60	
1096984885.363923000	60	60	
1096984885.403958000	60	60	
1096984885.466046000	60	60	
1096984885.511615000	60	60	
1096984885.516089000	60	60	
1096984885.534630000	60	60	
1096984885.574702000	60	60	
1096984885.612750000	60	60	
1096984885.612828000	60	60	
1096984885.616240000	60	60	
1096984885.627758000	60	60	
1096984885.661308000	60	60	
1096984885.690868000	60	60	
1096984885.734954000	60	60	
1096984885.843603000	60	60	
1096984885.861112000	60	60	
1096984885.863588000	60	60	
1096984885.925715000	60	60	
1096984886.026880000	60	60	
1096984886.043388000	60	60	
1096984886.064423000	60	60	
1096984886.182105000	60	60	
1096984886.263726000	60	60	
1096984886.553660000	60	60	
1096984886.633754000	60	60	
1096984886.762951000	60	60	
1096984886.815016000	60	60	
1096984886.823501000	60	60	
1096984886.856575000	60	60	
1096984886.923201000	60	60	
1096984887.080437000	60	60	
1096984887.204103000	60	60	
1096984887.205586000	60	60	
1096984887.252200000	60	60	
1096984887.386401000	60	60	
1096984887.430923000	60	60	
1096984887.495042000	60	60	
1096984887.724430000	60	60	
1096984887.834538000	60	60	
1096984887.894613000	60	60	
1096984887.921131000	60	60	
1096984887.957207000	60	60	
1096984887.993763000	60	60	
1096984888.060352000	60	60	
1096984888.115941000	60	60	
1096984888.175037000	60	60	
1096984888.191539000	60	60	
1096984888.216599000	60	60	
1096984888.235603000	60	60	
1096984888.315263000	60	60	
1096984888.338269000	60	60	
1096984888.435924000	60	60	
1096984888.505525000	60	60	
1096984888.516005000	60	60	
1096984888.589140000	60	60	
1096984888.616659000	60	60	
1096984888.621143000	60	60	
1096984888.635678000	60	60	
1096984888.653210000	60	60	
1096984888.732844000	60	60	
1096984888.783925000	60	60	
1096984888.815962000	60	60	
1096984888.859026000	60	60	
1096984888.863506000	60	60	
1096984888.971208000	60	60	
1096984889.007757000	60	60	
1096984889.064396000	60	60	
1096984889.118415000	60	60	
1096984889.136438000	60	60	
1096984889.163481000	60	60	
1096984889.241109000	60	60	
1096984889.283689000	60	60	
1096984889.289667000	60	60	
1096984889.469438000	60	60	
1096984889.470906000	60	60	
1096984889.472407000	60	60	
1096984889.615160000	60	60	
1096984889.704781000	60	60	
1096984889.720784000	60	60	
1096984889.799418000	60	60	
1096984889.820934000	60	60	
1096984889.839463000	60	60	
1096984889.996730000	60	60	
1096984890.082351000	60	60	
1096984890.167976000	60	60	
1096984890.182488000	60	60	
1096984890.193987000	60	60	
1096984890.233059000	60	60	
1096984890.277156000	60	60	
1096984890.322688000	60	60	
1096984890.327181000	60	60	
1096984890.361756000	60	60	
1096984890.369249000	60	60	
1096984890.609128000	60	60	
1096984890.612584000	60	60	
1096984890.704747000	60	60	
1096984890.762832000	60	60	
1096984890.779858000	60	60	
1096984890.861482000	60	60	
1096984890.886513000	60	60	
1096984890.936089000	60	60	
1096984890.975156000	60	60	
1096984891.129388000	60	60	
1096984891.133349000	60	60	
1096984891.164927000	60	60	
1096984891.203996000	60	60	
1096984891.253574000	60	60	
1096984891.254061000	60	60	
1096984891.271110000	60	60	
1096984891.304148000	60	60	
1096984891.321663000	60	60	
1096984891.322129000	60	60	
1096984891.373237000	60	60	
1096984891.476405000	60	60	
1096984891.587565000	60	60	
1096984891.590018000	60	60	
1096984891.873978000	60	60	
1096984891.972617000	60	60	
1096984892.056253000	60	60	
1096984892.066741000	60	60	
1096984892.127836000	60	60	
1096984892.184451000	60	60	
1096984892.190912000	60	60	
1096984892.208948000	60	60	
1096984892.236006000	60	60	
1096984892.251048000	60	60	
1096984892.300125000	60	60	
1096984892.307595000	60	60	
1096984892.326624000	60	60	
1096984892.343161000	60	60	
1096984892.464387000	60	60	
1096984892.485394000	60	60	
1096984892.556980000	60	60	
1096984892.577510000	60	60	
1096984892.598023000	60	60	
1096984892.601504000	60	60	
1096984892.637586000	60	60	
1096984892.751265000	60	60	
1096984892.810850000	60	60	
1096984892.810918000	60	60	
1096984892.834883000	60	60	
1096984892.843866000	60	60	
1096984892.880470000	60	60	
1096984893.043207000	60	60	
1096984893.057199000	60	60	
1096984893.069220000	60	60	
1096984893.072700000	60	60	
1096984893.113295000	60	60	
1096984893.134417000	60	60	
1096984893.228981000	60	60	
1096984893.260031000	60	60	
1096984893.266013000	60	60	
1096984893.294093000	60	60	
1096984893.309582000	60	60	
1096984893.387715000	60	60	
1096984893.499387000	60	60	
1096984893.520378000	60	60	
1096984893.710681000	60	60	
1096984893.754230000	60	60	
1096984893.815327000	60	60	
1096984893.834860000	60	60	
1096984893.894948000	60	60	
1096984893.991102000	60	60	
1096984893.996077000	60	60	
1096984894.038650000	60	60	
1096984894.130800000	60	60	
1096984894.144804000	60	60	
1096984894.170842000	60	60	
1096984894.181872000	60	60	
1096984894.236465000	60	60	
1096984894.244450000	60	60	
